signal	scale(xsec)	pdf(xsec)
BulkG	600	0.0788405	0.0910942
BulkG	800	0.0978498	0.10565
BulkG	1200	0.124306	0.14237
BulkG	1400	0.134482	0.165529
BulkG	1600	0.143518	0.192089
BulkG	1800	0.151284	0.218125
BulkG	2000	0.158533	0.247751
BulkG	2500	0.174824	0.339052
BulkG	3000	0.189223	0.450011
BulkG	3500	0.202864	0.589637
BulkG	4000	0.215821	0.776804
BulkG	4500	0.227372	1.00172
Wprime	600	0.0136922	0.0403423
Wprime	800	0.0278272	0.0411452
Wprime	1000	0.0400242	0.0419527
Wprime	1200	0.0502532	0.0437757
Wprime	1400	0.058957	0.0460551
Wprime	1600	0.0666744	0.0483122
Wprime	1800	0.0739624	0.0509453
Wprime	2000	0.0807293	0.0543189
Wprime	2500	0.0967945	0.0655156
Wprime	3000	0.11186	0.0846863
Wprime	3500	0.125904	0.118175
Wprime	4000	0.137632	0.18496
Wprime	4500	0.145058	0.307965
Zprime	600	0.0140937	0.0401968
Zprime	800	0.0283678	0.0409221
Zprime	1000	0.0405841	0.0418039
Zprime	1200	0.0506837	0.044492
Zprime	1400	0.059207	0.0461182
Zprime	1800	0.0737932	0.0519441
Zprime	2000	0.080057	0.0556983
Zprime	2500	0.0945563	0.0654123
Zprime	3000	0.107215	0.0793234
Zprime	3500	0.119058	0.101825
Zprime	4000	0.129751	0.133784
Zprime	4500	0.138699	0.178196	
