M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
3000.	3000.	0.647271	1.	-1.5	0.1	0.1	0.1	0.	0.	0.	22.9574	0.490971	0.491713	0.0021788	0.00215551	0.000734113	0.00071082	0.00215549	0.00215755	22.9575	0.491976	0.000162935	0.490547	0.00411337	0.00022064	0.00144467	0.0043124	0.000377644	0.000215471	0.0000972719
3000.	3000.	0.647271	1.	-1.5	0.2	0.2	0.2	0.	0.	0.	24.1917	0.465922	0.466625	0.0084643	0.00841969	0.00283638	0.00279177	0.00841963	0.00838084	24.1917	0.466875	0.000154622	0.465519	0.0160242	0.000859536	0.00562792	0.0167996	0.00155026	0.000883631	0.000399309
3000.	3000.	0.647271	1.	-1.5	0.3	0.3	0.3	0.	0.	0.	26.263	0.429176	0.429824	0.0176778	0.017616	0.00591327	0.00585146	0.0176158	0.0175029	26.263	0.430054	0.000142427	0.428805	0.0334968	0.00179676	0.0117645	0.0351176	0.00351811	0.00200464	0.000906178
3000.	3000.	0.647271	1.	-1.5	0.4	0.4	0.4	0.	0.	0.	29.1713	0.386388	0.386971	0.0284024	0.0283281	0.00949232	0.00941801	0.0283279	0.0281209	29.1713	0.387179	0.000128228	0.386054	0.0538424	0.00288809	0.0189101	0.0564476	0.00628118	0.00357849	0.00161788
3000.	3000.	0.647271	1.	-1.5	0.5	0.5	0.5	0.	0.	0.	32.9166	0.342423	0.342941	0.0394196	0.0393372	0.0131674	0.013085	0.0393369	0.0390284	32.9167	0.343124	0.000113638	0.342128	0.0747473	0.00400943	0.0262522	0.078364	0.00983949	0.00560519	0.00253441
3000.	3000.	0.647271	1.	-1.5	0.6	0.6	0.6	0.	0.	0.	37.499	0.300579	0.301033	0.0499038	0.049817	0.0166636	0.0165768	0.0498166	0.0494082	37.499	0.301195	0.0000997511	0.30032	0.0946441	0.00507669	0.0332402	0.0992235	0.014193	0.00808473	0.00365577
3000.	3000.	0.647271	1.	-1.5	0.7	0.7	0.7	0.	0.	0.	42.9184	0.262624	0.263021	0.0594124	0.0593238	0.0198337	0.0197451	0.0593234	0.0588221	42.9185	0.263162	0.0000871553	0.262398	0.112691	0.00604475	0.0395787	0.118144	0.0193418	0.0110171	0.00498197
3000.	3000.	0.647271	1.	-1.5	0.8	0.8	0.8	0.	0.	0.	49.1749	0.229211	0.229557	0.0677824	0.067694	0.0226236	0.0225353	0.0676935	0.0671087	49.1749	0.22968	0.0000760666	0.229013	0.128579	0.00689697	0.0451588	0.134801	0.0252858	0.0144023	0.006513
3000.	3000.	0.647271	1.	-1.5	0.9	0.9	0.9	0.	0.	0.	56.2684	0.200316	0.200618	0.07502	0.0749331	0.0250357	0.0249488	0.0749326	0.0742742	56.2684	0.200726	0.0000664773	0.200143	0.142319	0.00763397	0.0499844	0.149205	0.032025	0.0182404	0.00824886
3000.	3000.	0.647271	1.	-1.5	1.	1.	1.	0.	0.	0.	64.1989	0.175571	0.175836	0.0812175	0.0811329	0.0271008	0.0270161	0.0811323	0.0804099	64.1989	0.17593	0.0000582653	0.175419	0.154085	0.00826511	0.0541168	0.161541	0.0395594	0.0225314	0.0101895
