M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
1500.	1499.99	0.644965	1.	-1.1	-3.	-3.	-3.	0.	0.	0.	192.04	0.0159011	0.016107	0.121543	0.121669	0.0404725	0.0405984	0.121666	0.116688	192.042	0.0160316	0.0000212443	0.0159559	0.230829	0.0123816	0.0810701	0.23836	3.59987	2.13026	1.01929
1500.	1499.99	0.644965	1.	-1.1	-2.9	-2.9	-2.9	0.	0.	0.	179.884	0.0169757	0.0171955	0.12127	0.1214	0.04038	0.0405098	0.121396	0.116425	179.885	0.017115	0.00002268	0.0170342	0.230313	0.0123539	0.080889	0.237827	3.36446	1.99094	0.952634
1500.	1499.99	0.644965	1.	-1.1	-2.8	-2.8	-2.8	0.	0.	0.	168.139	0.0181615	0.0183967	0.120968	0.121102	0.0402779	0.040412	0.121098	0.116135	168.14	0.0183105	0.0000242643	0.0182241	0.229744	0.0123234	0.0806891	0.23724	3.13701	1.85634	0.888232
1500.	1499.99	0.644965	1.	-1.1	-2.7	-2.7	-2.7	0.	0.	0.	156.805	0.0194743	0.0197264	0.120633	0.120772	0.0401649	0.0403037	0.120769	0.115814	156.806	0.019634	0.0000260182	0.0195414	0.229114	0.0122896	0.0804677	0.236589	2.91752	1.72644	0.826084
1500.	1499.99	0.644965	1.	-1.1	-2.6	-2.6	-2.6	0.	0.	0.	145.881	0.0209325	0.0212035	0.120262	0.120406	0.0400396	0.0401832	0.120402	0.115457	145.883	0.0211042	0.0000279664	0.0210046	0.228414	0.0122521	0.0802219	0.235866	2.70599	1.60126	0.76619
1500.	1499.99	0.644965	1.	-1.1	-2.5	-2.5	-2.5	0.	0.	0.	135.369	0.022558	0.0228501	0.119849	0.119997	0.0399	0.0400488	0.119994	0.115059	135.37	0.0227431	0.0000301381	0.0226357	0.227633	0.0122102	0.0799479	0.23506	2.50242	1.48079	0.70855
1500.	1499.99	0.644965	1.	-1.1	-2.4	-2.4	-2.4	0.	0.	0.	125.268	0.024377	0.0246926	0.119386	0.11954	0.0397439	0.0398983	0.119537	0.114615	125.269	0.024577	0.0000325683	0.024461	0.22676	0.0121634	0.0796412	0.234159	2.30681	1.36502	0.653164
1500.	1499.99	0.644965	1.	-1.1	-2.3	-2.3	-2.3	0.	0.	0.	115.578	0.0264208	0.0267629	0.118866	0.119027	0.0395686	0.039729	0.119023	0.114115	115.579	0.0266375	0.0000352989	0.0265118	0.225779	0.0121107	0.0792966	0.233146	2.11916	1.25397	0.600031
1500.	1499.99	0.644965	1.	-1.1	-2.2	-2.2	-2.2	0.	0.	0.	106.299	0.0287271	0.0290991	0.11828	0.118447	0.039371	0.0395379	0.118443	0.113552	106.3	0.0289628	0.0000383802	0.0288261	0.224672	0.0120514	0.0789078	0.232002	1.93947	1.14763	0.549152
1500.	1499.99	0.644965	1.	-1.1	-2.1	-2.1	-2.1	0.	0.	0.	97.4307	0.0313418	0.0317476	0.117615	0.117789	0.0391472	0.039321	0.117785	0.112913	97.4315	0.0315989	0.0000418735	0.0314498	0.223417	0.011984	0.078467	0.230706	1.76773	1.04601	0.500527
1500.	1499.99	0.644965	1.	-1.1	-2.	-2.	-2.	0.	0.	0.	88.9737	0.0343209	0.0347653	0.116858	0.117039	0.0388924	0.0390736	0.117036	0.112186	88.9744	0.0346024	0.0000458537	0.0344392	0.221987	0.0119073	0.0779648	0.22923	1.60396	0.949088	0.454155
