M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
3000.	3000.	0.647271	1.	-1.5	-3.	-3.	-3.	0.	0.	0.	399.863	0.0281882	0.0282308	0.118074	0.118115	0.0393445	0.0393854	0.118114	0.116897	399.863	0.0282459	9.35463*10^-6	0.0281639	0.224165	0.0120242	0.0787299	0.235012	0.0163071	0.00998002	0.00390286
3000.	3000.	0.647271	1.	-1.5	-2.9	-2.9	-2.9	0.	0.	0.	375.149	0.0300452	0.0300906	0.117609	0.117651	0.0391889	0.039231	0.11765	0.116436	375.149	0.0301067	9.97088*10^-6	0.0300193	0.223282	0.0119768	0.0784198	0.234086	0.015239	0.00932628	0.00364722
3000.	3000.	0.647271	1.	-1.5	-2.8	-2.8	-2.8	0.	0.	0.	351.272	0.0320874	0.0321359	0.117096	0.11714	0.0390177	0.0390611	0.117139	0.115929	351.273	0.0321531	0.0000106486	0.0320598	0.222311	0.0119247	0.0780787	0.233068	0.014207	0.00869469	0.00340024
3000.	3000.	0.647271	1.	-1.5	-2.7	-2.7	-2.7	0.	0.	0.	328.233	0.0343397	0.0343916	0.116532	0.116576	0.0388289	0.0388737	0.116575	0.115369	328.233	0.03441	0.0000113961	0.0343101	0.22124	0.0118673	0.0777026	0.231945	0.0132112	0.00808524	0.00316191
3000.	3000.	0.647271	1.	-1.5	-2.6	-2.6	-2.6	0.	0.	0.	306.03	0.0368311	0.0368867	0.115907	0.115953	0.0386202	0.0386664	0.115952	0.114751	306.03	0.0369065	0.0000122229	0.0367993	0.220056	0.0118037	0.0772865	0.230703	0.0122516	0.00749794	0.00293225
3000.	3000.	0.647271	1.	-1.5	-2.5	-2.5	-2.5	0.	0.	0.	284.664	0.0395955	0.0396553	0.115213	0.115261	0.0383885	0.0384364	0.11526	0.114064	284.665	0.0396765	0.0000131403	0.0395613	0.218741	0.0117332	0.0768248	0.229325	0.0113282	0.00693278	0.00271124
3000.	3000.	0.647271	1.	-1.5	-2.4	-2.4	-2.4	0.	0.	0.	264.136	0.0426728	0.0427373	0.114442	0.114491	0.0381308	0.0381803	0.11449	0.1133	264.136	0.0427602	0.0000141615	0.042636	0.217278	0.0116547	0.0763109	0.227791	0.010441	0.00638976	0.00249889
3000.	3000.	0.647271	1.	-1.5	-2.3	-2.3	-2.3	0.	0.	0.	244.444	0.0461104	0.04618	0.11358	0.113631	0.0378428	0.0378941	0.11363	0.112447	244.445	0.0462048	0.0000153023	0.0460706	0.215643	0.0115671	0.0757369	0.226078	0.00958989	0.00586888	0.0022952
3000.	3000.	0.647271	1.	-1.5	-2.2	-2.2	-2.2	0.	0.	0.	225.59	0.0499642	0.0500397	0.112613	0.112667	0.0375201	0.0375732	0.112666	0.11149	225.59	0.0500665	0.0000165813	0.0499211	0.213811	0.0114688	0.0750933	0.224157	0.008775	0.00537014	0.00210016
3000.	3000.	0.647271	1.	-1.5	-2.1	-2.1	-2.1	0.	0.	0.	207.573	0.0543012	0.0543832	0.111526	0.111581	0.037157	0.0372121	0.11158	0.110414	207.573	0.0544123	0.0000180205	0.0542543	0.211749	0.0113582	0.074369	0.221995	0.00799628	0.00489355	0.00191379
3000.	3000.	0.647271	1.	-1.5	-2.	-2.	-2.	0.	0.	0.	190.392	0.0592011	0.0592905	0.110298	0.110355	0.0367468	0.036804	0.110354	0.109197	190.392	0.0593223	0.0000196466	0.0591501	0.209419	0.0112332	0.0735507	0.219552	0.00725374	0.0044391	0.00173607
3000.	3000.	0.647271	1.	-1.5	-1.9	-1.9	-1.9	0.	0.	0.	174.049	0.0647602	0.064858	0.108904	0.108963	0.0362815	0.036341	0.108963	0.107817	174.049	0.0648927	0.0000214915	0.0647043	0.206776	0.0110914	0.0726223	0.216781	0.00654737	0.00400679	0.00156702
3000.	3000.	0.647271	1.	-1.5	-1.8	-1.8	-1.8	0.	0.	0.	158.542	0.0710941	0.0712015	0.107316	0.107378	0.0357514	0.0358133	0.107377	0.106245	158.543	0.0712396	0.0000235935	0.0710328	0.203764	0.0109298	0.0715645	0.213623	0.00587719	0.00359662	0.00140662
3000.	3000.	0.647271	1.	-1.5	-1.7	-1.7	-1.7	0.	0.	0.	143.873	0.0783429	0.0784612	0.105499	0.105563	0.0351449	0.0352093	0.105563	0.104446	143.873	0.0785032	0.0000259991	0.0782753	0.200317	0.010745	0.070354	0.21001	0.00524318	0.0032086	0.00125488
3000.	3000.	0.647271	1.	-1.5	-1.6	-1.6	-1.6	0.	0.	0.	130.041	0.0866761	0.086807	0.10341	0.103477	0.0344477	0.0345148	0.103476	0.102378	130.041	0.0868535	0.0000287646	0.0866013	0.196355	0.0105324	0.0689623	0.205855	0.00464534	0.00284272	0.00111179
3000.	3000.	0.647271	1.	-1.5	-1.5	-1.5	-1.5	0.	0.	0.	117.045	0.0962996	0.096445	0.100998	0.101068	0.0336428	0.0337126	0.101067	0.0999902	117.046	0.0964966	0.0000319582	0.0962165	0.191779	0.010287	0.0673552	0.201058	0.00408368	0.00249898	0.000977369
3000.	3000.	0.647271	1.	-1.5	-1.4	-1.4	-1.4	0.	0.	0.	104.887	0.107462	0.107625	0.0982003	0.0982731	0.0327092	0.032782	0.0982724	0.0972203	104.887	0.107682	0.0000356627	0.10737	0.186471	0.0100023	0.065491	0.195493	0.0035582	0.00217739	0.000851603
3000.	3000.	0.647271	1.	-1.5	-1.3	-1.3	-1.3	0.	0.	0.	93.566	0.120465	0.120647	0.0949417	0.0950174	0.031622	0.0316977	0.0950167	0.0939941	93.5661	0.120711	0.0000399778	0.120361	0.180288	0.00967061	0.0633196	0.189012	0.0030689	0.00187793	0.000734495
3000.	3000.	0.647271	1.	-1.5	-1.2	-1.2	-1.2	0.	0.	0.	83.0819	0.135667	0.135871	0.0911322	0.0912109	0.0303512	0.0304299	0.0912102	0.0902225	83.082	0.135944	0.0000450226	0.135549	0.17306	0.00928289	0.0607809	0.181433	0.00261577	0.00160062	0.000626046
3000.	3000.	0.647271	1.	-1.5	-1.1	-1.1	-1.1	0.	0.	0.	73.4347	0.153489	0.153721	0.0866661	0.0867478	0.0288615	0.0289432	0.0867472	0.0858009	73.4348	0.153803	0.0000509373	0.153357	0.164585	0.00882832	0.0578045	0.172549	0.00219882	0.00134545	0.000526255
3000.	3000.	0.647271	1.	-1.5	-1.	-1.	-1.	0.	0.	0.	64.6246	0.174414	0.174677	0.0814231	0.0815075	0.0271129	0.0271973	0.0815069	0.0806101	64.6247	0.174771	0.0000578814	0.174263	0.154635	0.00829462	0.05431	0.162118	0.00181804	0.00111243	0.000435122
