M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
3500.	3500.	0.647569	1.	-1.5	0.1	0.1	0.1	0.	0.	0.	26.7355	0.490912	0.491461	0.00221398	0.00219678	0.000743772	0.000726568	0.00219676	0.00219802	26.7355	0.49165	0.000119602	0.490605	0.00418606	0.000224539	0.0014702	0.00439444	0.000127107	0.0000717227	0.0000311306
3500.	3500.	0.647569	1.	-1.5	0.2	0.2	0.2	0.	0.	0.	28.1852	0.465661	0.466182	0.00854376	0.00851091	0.00285891	0.00282606	0.00851086	0.00848169	28.1853	0.466361	0.00011345	0.46537	0.0161863	0.00086823	0.00568485	0.0169921	0.000518139	0.000292129	0.0001269
3500.	3500.	0.647569	1.	-1.5	0.3	0.3	0.3	0.	0.	0.	30.6137	0.428723	0.429202	0.0177982	0.0177528	0.00594794	0.00590247	0.0177527	0.0176686	30.6137	0.429367	0.000104451	0.428455	0.0337411	0.00180986	0.0118503	0.0354207	0.00117314	0.000661245	0.000287321
3500.	3500.	0.647569	1.	-1.5	0.4	0.4	0.4	0.	0.	0.	34.0207	0.385788	0.386219	0.0285525	0.0284979	0.00953573	0.00948112	0.0284977	0.0283442	34.0207	0.386368	0.0000939902	0.385546	0.0541459	0.00290437	0.0190167	0.0568413	0.00209211	0.00117907	0.000512392
3500.	3500.	0.647569	1.	-1.5	0.5	0.5	0.5	0.	0.	0.	38.4064	0.341734	0.342116	0.0395852	0.0395247	0.0132153	0.0131548	0.0395245	0.0392963	38.4065	0.342247	0.0000832573	0.34152	0.0750824	0.00402741	0.0263699	0.07882	0.00327506	0.00184561	0.000802113
3500.	3500.	0.647569	1.	-1.5	0.6	0.6	0.6	0.	0.	0.	43.7708	0.299852	0.300187	0.0500727	0.0500089	0.0167122	0.0166484	0.0500087	0.049707	43.7709	0.300303	0.0000730536	0.299665	0.0949865	0.00509506	0.0333605	0.099715	0.00472197	0.00266086	0.00115648
3500.	3500.	0.647569	1.	-1.5	0.7	0.7	0.7	0.	0.	0.	50.1139	0.261899	0.262192	0.0595756	0.0595106	0.0198802	0.0198152	0.0595103	0.0591404	50.1139	0.262293	0.000063807	0.261735	0.113024	0.00606256	0.0396954	0.11865	0.00643285	0.00362482	0.00157551
3500.	3500.	0.647569	1.	-1.5	0.8	0.8	0.8	0.	0.	0.	57.4356	0.228513	0.228768	0.0679343	0.0678695	0.0226664	0.0226016	0.0678692	0.0674379	57.4356	0.228856	0.000055673	0.22837	0.12889	0.00691365	0.045268	0.135306	0.0084077	0.00473748	0.00205918
3500.	3500.	0.647569	1.	-1.5	0.9	0.9	0.9	0.	0.	0.	65.736	0.199659	0.199882	0.0751579	0.0750942	0.0250739	0.0250102	0.0750938	0.0746086	65.736	0.199959	0.0000486433	0.199534	0.142603	0.00764919	0.0500841	0.149702	0.0106465	0.00599886	0.0026075
3500.	3500.	0.647569	1.	-1.5	1.	1.	1.	0.	0.	0.	75.015	0.174962	0.175158	0.0813405	0.0812784	0.0271342	0.0270721	0.081278	0.0807459	75.0151	0.175225	0.0000426263	0.174853	0.15434	0.00827877	0.0542063	0.162023	0.0131493	0.00740895	0.00322048
3500.	3500.	0.647569	1.	-1.5	1.1	1.1	1.1	0.	0.	0.	85.2728	0.153915	0.154087	0.0866089	0.0865489	0.0288897	0.0288296	0.0865484	0.0859757	85.2728	0.154147	0.0000374987	0.153819	0.164343	0.0088153	0.0577193	0.172523	0.0159161	0.00896776	0.0038981
3500.	3500.	0.647569	1.	-1.5	1.2	1.2	1.2	0.	0.	0.	96.5091	0.135995	0.136147	0.0910944	0.0910366	0.0303841	0.0303262	0.0910361	0.0904284	96.5091	0.1362	0.0000331328	0.13591	0.172859	0.00927212	0.0607104	0.181464	0.0189468	0.0106753	0.00464038
3500.	3500.	0.647569	1.	-1.5	1.3	1.3	1.3	0.	0.	0.	108.724	0.120716	0.120851	0.0949187	0.094863	0.0316581	0.0316025	0.0948625	0.0942246	108.724	0.120898	0.0000294104	0.120641	0.18012	0.00966161	0.0632606	0.189087	0.0222415	0.0125315	0.0054473
3500.	3500.	0.647569	1.	-1.5	1.4	1.4	1.4	0.	0.	0.	121.918	0.107653	0.107773	0.0981883	0.0981349	0.0327473	0.0326938	0.0981344	0.0974703	121.918	0.107814	0.0000262276	0.107585	0.186329	0.00999463	0.0654411	0.195604	0.0258002	0.0145364	0.00631888
3500.	3500.	0.647569	1.	-1.5	1.5	1.5	1.5	0.	0.	0.	136.09	0.0964417	0.0965496	0.100994	0.100943	0.0336818	0.0336305	0.100942	0.100255	136.09	0.0965867	0.0000234963	0.0963814	0.191657	0.0102804	0.0673123	0.201197	0.0296228	0.0166901	0.00725511
3500.	3500.	0.647569	1.	-1.5	1.6	1.6	1.6	0.	0.	0.	151.241	0.0867804	0.0868775	0.103412	0.103363	0.0344871	0.0344378	0.103362	0.102656	151.241	0.0869109	0.0000211425	0.0867261	0.196248	0.0105267	0.0689249	0.206017	0.0337095	0.0189924	0.00825598
3500.	3500.	0.647569	1.	-1.5	1.7	1.7	1.7	0.	0.	0.	167.371	0.0784173	0.078505	0.105505	0.105458	0.0351841	0.0351368	0.105457	0.104733	167.371	0.0785352	0.000019105	0.0783683	0.200223	0.0107399	0.0703209	0.21019	0.0380601	0.0214435	0.00932151
