M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
2000.	2000.	0.648234	1.	0.1	-3.	-3.	-3.	0.	0.	0.	252.217	0.000131338	0.000132915	0.125322	0.125315	0.041776	0.0417696	0.125313	0.122512	252.217	0.00013194	9.79236*10^-8	0.000132214	0.237877	0.0127597	0.0835456	0.247825	0.591609	0.33367	0.148099
2000.	2000.	0.648234	1.	0.1	-2.9	-2.9	-2.9	0.	0.	0.	235.685	0.00014055	0.000142238	0.125319	0.125313	0.0417754	0.0417687	0.125311	0.12251	235.685	0.000141195	1.04792*10^-7	0.000141488	0.237873	0.0127594	0.0835441	0.247821	0.552821	0.311793	0.138389
2000.	2000.	0.648234	1.	0.1	-2.8	-2.8	-2.8	0.	0.	0.	219.713	0.000150767	0.000152578	0.125317	0.12531	0.0417746	0.0417677	0.125308	0.122507	219.713	0.000151459	1.1241*10^-7	0.000151773	0.237868	0.0127592	0.0835424	0.247815	0.515348	0.290658	0.129008
2000.	2000.	0.648234	1.	0.1	-2.7	-2.7	-2.7	0.	0.	0.	204.302	0.00016214	0.000164087	0.125314	0.125307	0.0417738	0.0417666	0.125305	0.122505	204.302	0.000162884	1.20889*10^-7	0.000163222	0.237862	0.0127589	0.0835404	0.24781	0.47919	0.270265	0.119957
2000.	2000.	0.648234	1.	0.1	-2.6	-2.6	-2.6	0.	0.	0.	189.452	0.00017485	0.000176949	0.125311	0.125304	0.0417729	0.0417654	0.125302	0.122502	189.452	0.000175652	1.30365*10^-7	0.000176016	0.237856	0.0127586	0.0835383	0.247803	0.444347	0.250614	0.111234
2000.	2000.	0.648234	1.	0.1	-2.5	-2.5	-2.5	0.	0.	0.	175.162	0.000189114	0.000191385	0.125308	0.1253	0.0417718	0.0417641	0.125298	0.122498	175.162	0.000189982	1.41001*10^-7	0.000190376	0.23785	0.0127582	0.0835359	0.247796	0.410819	0.231704	0.102841
2000.	2000.	0.648234	1.	0.1	-2.4	-2.4	-2.4	0.	0.	0.	161.432	0.000205198	0.000207662	0.125304	0.125296	0.0417706	0.0417626	0.125294	0.122495	161.432	0.000206139	1.52993*10^-7	0.000206567	0.237842	0.0127578	0.0835332	0.247788	0.378606	0.213536	0.0947773
2000.	2000.	0.648234	1.	0.1	-2.3	-2.3	-2.3	0.	0.	0.	148.263	0.000223424	0.000226107	0.125299	0.125291	0.0417693	0.0417609	0.125289	0.12249	148.263	0.000224449	1.66582*10^-7	0.000224914	0.237833	0.0127573	0.0835301	0.247779	0.347708	0.196109	0.0870425
2000.	2000.	0.648234	1.	0.1	-2.2	-2.2	-2.2	0.	0.	0.	135.655	0.00024419	0.000247123	0.125294	0.125286	0.0417677	0.0417589	0.125283	0.122485	135.655	0.00024531	1.82065*10^-7	0.000245819	0.237823	0.0127568	0.0835267	0.247769	0.318125	0.179424	0.079637
2000.	2000.	0.648234	1.	0.1	-2.1	-2.1	-2.1	0.	0.	0.	123.607	0.000267992	0.00027121	0.125289	0.125279	0.0417659	0.0417567	0.125277	0.12248	123.607	0.000269221	1.99811*10^-7	0.00026978	0.237812	0.0127562	0.0835226	0.247757	0.289857	0.163481	0.0725606
2000.	2000.	0.648234	1.	0.1	-2.	-2.	-2.	0.	0.	0.	112.119	0.00029545	0.000298998	0.125282	0.125272	0.0417639	0.0417542	0.12527	0.122473	112.119	0.000296805	2.20283*10^-7	0.000297421	0.237799	0.0127555	0.083518	0.247743	0.262904	0.14828	0.0658134
2000.	2000.	0.648234	1.	0.1	-1.9	-1.9	-1.9	0.	0.	0.	101.192	0.000327354	0.000331285	0.125274	0.125264	0.0417614	0.0417512	0.125262	0.122466	101.192	0.000328856	2.4407*10^-7	0.000329538	0.237783	0.0127547	0.0835127	0.247727	0.237266	0.13382	0.0593954
2000.	2000.	0.648234	1.	0.1	-1.8	-1.8	-1.8	0.	0.	0.	90.8254	0.000364718	0.000369098	0.125265	0.125254	0.0417586	0.0417478	0.125252	0.122457	90.8254	0.000366391	2.71928*10^-7	0.000367151	0.237765	0.0127537	0.0835064	0.247709	0.212943	0.120102	0.0533066
2000.	2000.	0.648234	1.	0.1	-1.7	-1.7	-1.7	0.	0.	0.	81.0192	0.000408861	0.000413772	0.125254	0.125243	0.0417552	0.0417438	0.125241	0.122446	81.0192	0.000410737	3.04841*10^-7	0.000411589	0.237744	0.0127526	0.083499	0.247687	0.189936	0.107125	0.047547
2000.	2000.	0.648234	1.	0.1	-1.6	-1.6	-1.6	0.	0.	0.	71.7734	0.00046153	0.000467073	0.125241	0.125229	0.0417511	0.041739	0.125227	0.122434	71.7734	0.000463647	3.4411*10^-7	0.000464609	0.237719	0.0127512	0.0834901	0.24766	0.168243	0.0948903	0.0421166
2000.	2000.	0.648234	1.	0.1	-1.5	-1.5	-1.5	0.	0.	0.	63.0882	0.000525068	0.000531374	0.125226	0.125213	0.0417462	0.0417332	0.125211	0.122418	63.0882	0.000527477	3.91483*10^-7	0.000528571	0.237689	0.0127496	0.0834794	0.247629	0.147865	0.0833971	0.0370154
2000.	2000.	0.648234	1.	0.1	-1.4	-1.4	-1.4	0.	0.	0.	54.9634	0.000602684	0.000609922	0.125206	0.125193	0.0417401	0.0417263	0.125191	0.1224	54.9634	0.000605449	4.49352*10^-7	0.000606705	0.237652	0.0127476	0.0834664	0.24759	0.128802	0.0726456	0.0322433
2000.	2000.	0.648234	1.	0.1	-1.3	-1.3	-1.3	0.	0.	0.	47.3992	0.000698865	0.000707258	0.125183	0.125168	0.0417325	0.0417176	0.125166	0.122377	47.3992	0.000702071	5.21063*10^-7	0.000703527	0.237605	0.0127451	0.0834502	0.247542	0.111054	0.0626358	0.0278005
2000.	2000.	0.648234	1.	0.1	-1.2	-1.2	-1.2	0.	0.	0.	40.3953	0.000820035	0.000829883	0.125153	0.125137	0.041723	0.0417068	0.125135	0.122347	40.3953	0.000823797	6.11406*10^-7	0.000825506	0.237547	0.012742	0.0834298	0.247482	0.0946215	0.0533676	0.0236868
2000.	2000.	0.648234	1.	0.1	-1.1	-1.1	-1.1	0.	0.	0.	33.952	0.000975659	0.000987377	0.125114	0.125097	0.0417106	0.041693	0.125095	0.12231	33.952	0.000980135	7.27437*10^-7	0.000982168	0.237473	0.012738	0.0834037	0.247404	0.0795038	0.0448412	0.0199024
2000.	2000.	0.648234	1.	0.1	-1.	-1.	-1.	0.	0.	0.	28.0691	0.00118014	0.00119432	0.125064	0.125044	0.0416943	0.041675	0.125042	0.12226	28.0691	0.00118556	8.79897*10^-7	0.00118802	0.237375	0.0127328	0.0833693	0.247302	0.0657011	0.0370563	0.0164471
