M0	M+	g	gv	ch	cq	cl	c3	cvvw	cvvhh	cvvv	total_widthV0GeV	BRWW	BRhZ	BRuu	BRdd	BRll	BRnunu	BRbb	BRtt	total_widthV+GeV	BRZW	BRWGam	BRWh	BRud	BRus	BRlnu	BRtb	CX+(pb)	CX0(pb)	CX-(pb)
2000.	2000.	0.648234	1.	0.1	0.1	0.1	0.1	0.	0.	0.	0.349018	0.0949107	0.0960506	0.101337	0.101493	0.0337271	0.033883	0.101491	0.0990578	0.349018	0.0953461	0.0000707641	0.0955439	0.192503	0.0103258	0.0676096	0.200553	0.00419578	0.00260656	0.00131228
2000.	2000.	0.648234	1.	0.1	0.2	0.2	0.2	0.	0.	0.	1.19186	0.0277932	0.028127	0.118297	0.118388	0.0394018	0.0394931	0.118386	0.11564	1.19186	0.0279207	0.0000207222	0.0279786	0.224634	0.0120493	0.0788946	0.234029	0.0167197	0.0103879	0.0052293
2000.	2000.	0.648234	1.	0.1	0.3	0.3	0.3	0.	0.	0.	2.59517	0.0127643	0.0129176	0.122101	0.122164	0.0406795	0.0407423	0.122162	0.119361	2.59518	0.0128229	9.51687*10^-6	0.0128495	0.231829	0.0124353	0.0814215	0.241524	0.0375718	0.0233441	0.0117511
2000.	2000.	0.648234	1.	0.1	0.4	0.4	0.4	0.	0.	0.	4.55896	0.00726604	0.0073533	0.123495	0.123543	0.0411492	0.0411969	0.123541	0.120724	4.55897	0.00729936	5.41745*10^-6	0.0073145	0.234462	0.0125765	0.082346	0.244267	0.0667522	0.0414752	0.0208776
2000.	2000.	0.648234	1.	0.1	0.5	0.5	0.5	0.	0.	0.	7.08323	0.00467662	0.00473279	0.124153	0.124191	0.0413716	0.0414099	0.124189	0.121368	7.08323	0.00469807	3.48682*10^-6	0.00470782	0.235701	0.012643	0.0827814	0.245558	0.104261	0.0647811	0.0326088
2000.	2000.	0.648234	1.	0.1	0.6	0.6	0.6	0.	0.	0.	10.168	0.00325784	0.00329696	0.124514	0.124546	0.041494	0.041526	0.124544	0.121721	10.168	0.00327278	2.42899*10^-6	0.00327957	0.23638	0.0126794	0.0830199	0.246266	0.150097	0.0932618	0.0469448
2000.	2000.	0.648234	1.	0.1	0.7	0.7	0.7	0.	0.	0.	13.8132	0.00239811	0.00242691	0.124733	0.124761	0.0415685	0.0415961	0.124759	0.121935	13.8132	0.00240911	1.788*10^-6	0.00241411	0.236792	0.0127015	0.0831645	0.246695	0.204262	0.126917	0.0638856
2000.	2000.	0.648234	1.	0.1	0.8	0.8	0.8	0.	0.	0.	18.0189	0.00183838	0.00186046	0.124876	0.1249	0.0416173	0.0416414	0.124898	0.122075	18.0189	0.00184682	1.37067*10^-6	0.00185065	0.23706	0.0127158	0.0832586	0.246974	0.266755	0.165748	0.0834311
2000.	2000.	0.648234	1.	0.1	0.9	0.9	0.9	0.	0.	0.	22.785	0.00145383	0.00147129	0.124974	0.124996	0.0416509	0.0416724	0.124994	0.122171	22.7851	0.0014605	1.08395*10^-6	0.00146353	0.237244	0.0127257	0.0833233	0.247166	0.337577	0.209753	0.105581
2000.	2000.	0.648234	1.	0.1	1.	1.	1.	0.	0.	0.	28.1117	0.00117836	0.00119251	0.125045	0.125064	0.0416752	0.0416945	0.125062	0.12224	28.1117	0.00118376	8.78565*10^-7	0.00118622	0.237376	0.0127328	0.0833696	0.247303	0.416726	0.258933	0.130336
2000.	2000.	0.648234	1.	0.1	1.1	1.1	1.1	0.	0.	0.	33.9988	0.000974317	0.000986018	0.125097	0.125115	0.0416932	0.0417108	0.125113	0.122291	33.9988	0.000978786	7.26436*10^-7	0.000980816	0.237474	0.012738	0.0834039	0.247405	0.504204	0.313288	0.157696
2000.	2000.	0.648234	1.	0.1	1.2	1.2	1.2	0.	0.	0.	40.4464	0.000819	0.000828836	0.125137	0.125153	0.041707	0.0417231	0.125151	0.122331	40.4464	0.000822757	6.10634*10^-7	0.000824463	0.237548	0.012742	0.08343	0.247482	0.60001	0.372818	0.187661
2000.	2000.	0.648234	1.	0.1	1.3	1.3	1.3	0.	0.	0.	47.4545	0.00069805	0.000706434	0.125168	0.125183	0.0417178	0.0417326	0.125181	0.122361	47.4545	0.000701252	5.20456*10^-7	0.000702707	0.237606	0.0127451	0.0834503	0.247542	0.704144	0.437522	0.22023
2000.	2000.	0.648234	1.	0.1	1.4	1.4	1.4	0.	0.	0.	55.023	0.000602032	0.000609262	0.125193	0.125207	0.0417264	0.0417402	0.125205	0.122385	55.023	0.000604793	4.48866*10^-7	0.000606048	0.237652	0.0127476	0.0834665	0.24759	0.816607	0.507402	0.255404
2000.	2000.	0.648234	1.	0.1	1.5	1.5	1.5	0.	0.	0.	63.152	0.000524537	0.000530837	0.125213	0.125226	0.0417333	0.0417462	0.125224	0.122405	63.152	0.000526943	3.91087*10^-7	0.000528036	0.237689	0.0127496	0.0834795	0.247629	0.937397	0.582456	0.293183
2000.	2000.	0.648234	1.	0.1	1.6	1.6	1.6	0.	0.	0.	71.8415	0.000461093	0.00046663	0.125229	0.125241	0.0417391	0.0417512	0.125239	0.122421	71.8415	0.000463208	3.43784*10^-7	0.000464169	0.237719	0.0127512	0.0834902	0.247661	1.06652	0.662685	0.333566
